Field_ID,Museum_ID,species,location,latitude,longitude,Elevation,Sex,Date,Time,Tb,Ts,Ta_t,Ta_k,HR,perch,weather,shade,note,CTmin,CTmax,Country,Collectors
Adist1,MMM00953,distichus,La Vega,19.203664,-70.517066,90,female,9-Sep-25,12:09,31.3,27,26.4,,,trunk,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
Acyb1,MMM00954,cybotes,La Vega,19.203664,-70.517066,90,male,9-Sep-25,,,,,,,trunk,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
Acyb2,MMM00955,cybotes,Bonao,18.975301,-70.450331,299,male,10-Sep-25,,,,,,,,sun,,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
Achr1,MMM00956,christophei,Sabana del Puerto,19.026,-70.48131,739,male,10-Sep-25,11:03,24.7,24.6,24.6,25.6,88.9,trunk,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
Adist2,MMM00957,distichus,Los Paticos,19.018049,-70.584361,958,male,10-Sep-25,12:23,30.1,26.6,26.8,28.4,73.1,trunk,sun,partial,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
12,MMM00958,christophei,Los Paticos,19.018049,-70.584361,958,male,10-Sep-25,,27.1,,23,29.3,66.7,trunk,sun,shade,by the river,9.8,34.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
16,MMM00959,etheridgei,Tireo,18.942891,-70.714987,1388,male,12-Sep-25,,,,,24.1,80.3,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
5,MMM00960,christophei,Los Paticos,19.018049,-70.584361,958,female,10-Sep-25,,26.5,,,29.3,66.7,trunk,sun,shade,by the river,8.8,34.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
8,MMM00961,christophei,Los Paticos,19.018049,-70.584361,958,male,10-Sep-25,,27.8,,23.9,29.3,66.7,trunk,sun,shade,by the river,9.8,33.8,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
3,MMM00962,christophei,Los Paticos,19.018049,-70.584361,958,male,10-Sep-25,,27.1,,,29.3,66.7,trunk,sun,shade,by the river,9.8,34.4,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr2,MMM00963,christophei,Los Paticos,19.018049,-70.584361,958,female,10-Sep-25,12:35,26.6,22.7,22.7,28.2,61.7,trunk,sun,shade,by the river,9.6,34.4,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
9,MMM00964,christophei,Los Paticos,19.018049,-70.584361,958,female,10-Sep-25,,26.5,,,29.3,66.7,trunk,sun,shade,by the river,9.8,34,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
1,MMM00965,christophei,Los Paticos,19.018049,-70.584361,958,male,10-Sep-25,,27.7,,,29.3,66.7,trunk,sun,shade,by the river,8.5,33.8,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr3,MMM00966,christophei,Los Paticos,19.018049,-70.584361,958,male,10-Sep-25,12:48,27.7,24.4,22.5,27.4,61.8,trunk,sun,shade,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
6,MMM00967,christophei,Los Paticos,19.018049,-70.584361,958,female,10-Sep-25,,26.7,,,29.3,66.7,trunk,sun,shade,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
